episode,total_reward,success,steps_taken
679,-200.0,False,200
680,-200.0,False,200
681,-200.0,False,200
682,-200.0,False,200
683,-200.0,False,200
684,-200.0,False,200
685,-200.0,False,200
686,-200.0,False,200
687,-200.0,False,200
688,-200.0,False,200
689,-200.0,False,200
690,-200.0,False,200
691,-200.0,False,200
692,-200.0,False,200
693,-200.0,False,200
694,-200.0,False,200
695,-200.0,False,200
696,-200.0,False,200
697,-200.0,False,200
698,-200.0,False,200
699,-200.0,False,200
700,-174.0,True,174
701,-200.0,False,200
702,-182.0,True,182
703,-179.0,True,179
704,-186.0,True,186
705,-178.0,True,178
706,-200.0,False,200
707,-158.0,True,158
708,-185.0,True,185
709,-181.0,True,181
710,-188.0,True,188
711,-200.0,False,200
712,-191.0,True,191
713,-196.0,True,196
714,-195.0,True,195
715,-173.0,True,173
716,-183.0,True,183
717,-200.0,False,200
718,-200.0,False,200
719,-190.0,True,190
720,-161.0,True,161
721,-177.0,True,177
722,-188.0,True,188
723,-200.0,False,200
724,-200.0,False,200
725,-179.0,True,179
726,-181.0,True,181
727,-200.0,False,200
728,-200.0,False,200
729,-200.0,False,200
730,-189.0,True,189
731,-164.0,True,164
732,-181.0,True,181
733,-189.0,True,189
734,-192.0,True,192
735,-166.0,True,166
736,-200.0,False,200
737,-200.0,False,200
738,-194.0,True,194
739,-186.0,True,186
740,-186.0,True,186
741,-182.0,True,182
742,-200.0,False,200
743,-187.0,True,187
744,-200.0,False,200
745,-195.0,True,195
746,-182.0,True,182
747,-177.0,True,177
748,-162.0,True,162
749,-181.0,True,181
750,-200.0,False,200
751,-183.0,True,183
752,-189.0,True,189
753,-189.0,True,189
754,-185.0,True,185
755,-185.0,True,185
756,-167.0,True,167
757,-163.0,True,163
758,-200.0,False,200
759,-200.0,False,200
760,-169.0,True,169
761,-200.0,False,200
762,-200.0,False,200
763,-200.0,False,200
764,-200.0,False,200
765,-187.0,True,187
766,-200.0,False,200
767,-200.0,False,200
768,-200.0,False,200
769,-200.0,False,200
770,-200.0,False,200
771,-197.0,True,197
772,-200.0,False,200
773,-200.0,False,200
774,-200.0,False,200
775,-200.0,False,200
776,-182.0,True,182
777,-200.0,False,200
778,-200.0,False,200
779,-173.0,True,173
780,-200.0,False,200
781,-200.0,False,200
782,-176.0,True,176
783,-179.0,True,179
784,-163.0,True,163
785,-164.0,True,164
786,-200.0,False,200
787,-195.0,True,195
788,-147.0,True,147
789,-166.0,True,166
790,-200.0,False,200
791,-200.0,False,200
792,-200.0,False,200
793,-200.0,False,200
794,-156.0,True,156
795,-181.0,True,181
796,-153.0,True,153
797,-157.0,True,157
798,-200.0,False,200
799,-200.0,False,200
800,-200.0,False,200
801,-165.0,True,165
802,-150.0,True,150
803,-200.0,False,200
804,-200.0,False,200
805,-159.0,True,159
806,-156.0,True,156
807,-158.0,True,158
808,-149.0,True,149
809,-153.0,True,153
810,-200.0,False,200
811,-165.0,True,165
812,-158.0,True,158
813,-160.0,True,160
814,-200.0,False,200
815,-200.0,False,200
816,-200.0,False,200
817,-200.0,False,200
818,-200.0,False,200
819,-200.0,False,200
820,-200.0,False,200
821,-200.0,False,200
822,-200.0,False,200
823,-200.0,False,200
824,-200.0,False,200
825,-200.0,False,200
826,-200.0,False,200
827,-200.0,False,200
828,-191.0,True,191
829,-200.0,False,200
830,-200.0,False,200
831,-168.0,True,168
832,-172.0,True,172
833,-160.0,True,160
834,-157.0,True,157
835,-152.0,True,152
836,-152.0,True,152
837,-161.0,True,161
838,-165.0,True,165
839,-157.0,True,157
840,-161.0,True,161
